duration_ms_track,explicit,id_track,name_track,popularity,track,artist_ids,artist_names,album_id,album_name,album_release_date,album_release_date_precision,playlist_id,description_playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
203600,False,10pcZvQ4QTKeHRvTUAeHVD,Love Will Keep Us Together,49,True,7BEfMxbaqx6dOpbtlEqScm,Captain & Tennille,6ezk9jUCncL6Dx7fdO7JfB,Scrapbook,1999-01-01,day,0wiGVTU7ecvc90Dzhv35uL,"CERTIFIED SMOOTH! Check out these buttery smooth tunes from the 70s, 80s, and today! Loggins, McDonald, Cross, Hall &amp; Oats, Seals &amp; Croft, Pablo Cruise, Ambrosia, YRR, Parcels, and many more will make any night on the sea a Yacht Rock kind of night. Stay classy, stay sassy, and always MAKE IT SMOOTH",0.681,0.554,4,-10.333,1,0.0343,0.476,0.0,0.167,0.933,129.587,4
203600,False,10pcZvQ4QTKeHRvTUAeHVD,Love Will Keep Us Together,49,True,7BEfMxbaqx6dOpbtlEqScm,Captain & Tennille,6ezk9jUCncL6Dx7fdO7JfB,Scrapbook,1999-01-01,day,5mMwgU3jW7Wxxkr5F7GzSj,"Where can one listen to the smoothest rock music from the 70s and 80s? On a yacht, of course. Featuring the best of soft rock from the 70s and 80s, the Smooth Sailing Yacht Rock playlist promises you nothing but smooth sailing while jamming to hits from Kenny Loggins, Toto, Boz Scaggs, Hall &amp; Oates,",0.681,0.554,4,-10.333,1,0.0343,0.476,0.0,0.167,0.933,129.587,4
203600,False,10pcZvQ4QTKeHRvTUAeHVD,Love Will Keep Us Together,49,True,7BEfMxbaqx6dOpbtlEqScm,Captain & Tennille,6ezk9jUCncL6Dx7fdO7JfB,Scrapbook,1999-01-01,day,1DdB2WkaOYeNkOjXcH5muL,"Velvety smooth light rock songs from the 60&#x27;s-90&#x27;s that you are embarassed to admit you love!  Go on, you can listen.  We won&#x27;t tell anyone.  Perfect playlist for the workplace that is so vanilla it won&#x27;t offend anyone.",0.681,0.554,4,-10.333,1,0.0343,0.476,0.0,0.167,0.933,129.587,4
203600,False,10pcZvQ4QTKeHRvTUAeHVD,Love Will Keep Us Together,49,True,7BEfMxbaqx6dOpbtlEqScm,Captain & Tennille,6ezk9jUCncL6Dx7fdO7JfB,Scrapbook,1999-01-01,day,69gxiSRPkZ9gLjtiAO57SS,,0.681,0.554,4,-10.333,1,0.0343,0.476,0.0,0.167,0.933,129.587,4
203600,False,10pcZvQ4QTKeHRvTUAeHVD,Love Will Keep Us Together,49,True,7BEfMxbaqx6dOpbtlEqScm,Captain & Tennille,6ezk9jUCncL6Dx7fdO7JfB,Scrapbook,1999-01-01,day,1TYu77wlpYjWdqZuYYCK7h,The greatest Yacht Rock playlist in the world. ,0.681,0.554,4,-10.333,1,0.0343,0.476,0.0,0.167,0.933,129.587,4
203600,False,10pcZvQ4QTKeHRvTUAeHVD,Love Will Keep Us Together,49,True,7BEfMxbaqx6dOpbtlEqScm,Captain & Tennille,6ezk9jUCncL6Dx7fdO7JfB,Scrapbook,1999-01-01,day,4W3QZ88DMWoq38w01rBxN1,"Shit you should want to need from the 70s AOR, Yacht-Rock canon. ",0.681,0.554,4,-10.333,1,0.0343,0.476,0.0,0.167,0.933,129.587,4
189413,False,2RT0fkbSg1J2clXAn3vv1S,Sinking In An Ocean Of Tears,23,True,3JhRHqCi8HEzkJVWt19LtN,Stephen Bishop,08zWo4xb7GZ5e3dyUOUAmm,Careless,1976-01-01,day,0wiGVTU7ecvc90Dzhv35uL,"CERTIFIED SMOOTH! Check out these buttery smooth tunes from the 70s, 80s, and today! Loggins, McDonald, Cross, Hall &amp; Oats, Seals &amp; Croft, Pablo Cruise, Ambrosia, YRR, Parcels, and many more will make any night on the sea a Yacht Rock kind of night. Stay classy, stay sassy, and always MAKE IT SMOOTH",0.432,0.59,8,-8.704,1,0.0314,0.668,0.0774,0.0532,0.596,116.133,4
189413,False,2RT0fkbSg1J2clXAn3vv1S,Sinking In An Ocean Of Tears,23,True,3JhRHqCi8HEzkJVWt19LtN,Stephen Bishop,08zWo4xb7GZ5e3dyUOUAmm,Careless,1976-01-01,day,0wLrJzrZFV9YoixA5BhBNu,,0.432,0.59,8,-8.704,1,0.0314,0.668,0.0774,0.0532,0.596,116.133,4
316346,False,0WmJhww5BZROmkmAaOZUXj,Island,31,True,7tjbDPvrdvDshcpEMXKRVb,Gerry Rafferty,35yZZTWeSrszSKjRlFETwf,City to City,1978,year,0wiGVTU7ecvc90Dzhv35uL,"CERTIFIED SMOOTH! Check out these buttery smooth tunes from the 70s, 80s, and today! Loggins, McDonald, Cross, Hall &amp; Oats, Seals &amp; Croft, Pablo Cruise, Ambrosia, YRR, Parcels, and many more will make any night on the sea a Yacht Rock kind of night. Stay classy, stay sassy, and always MAKE IT SMOOTH",0.606,0.436,4,-11.763,1,0.0272,0.52,0.00241,0.364,0.496,110.328,4
316346,False,0WmJhww5BZROmkmAaOZUXj,Island,31,True,7tjbDPvrdvDshcpEMXKRVb,Gerry Rafferty,35yZZTWeSrszSKjRlFETwf,City to City,1978,year,1Nwko1a6mKsdYD2PoQuuIE,,0.606,0.436,4,-11.763,1,0.0272,0.52,0.00241,0.364,0.496,110.328,4
316346,False,0WmJhww5BZROmkmAaOZUXj,Island,31,True,7tjbDPvrdvDshcpEMXKRVb,Gerry Rafferty,35yZZTWeSrszSKjRlFETwf,City to City,1978,year,0wLrJzrZFV9YoixA5BhBNu,,0.606,0.436,4,-11.763,1,0.0272,0.52,0.00241,0.364,0.496,110.328,4
275506,False,62leJoS03BiNzdoQmb9ByN,Ride Like the Wind,49,True,695W5F2Ih8dYahLdjVOIoH,Christopher Cross,1zCZlZkquBeSNOeThSrKpE,Rhino Hi-Five: Christopher Cross,2005-04-19,day,0wiGVTU7ecvc90Dzhv35uL,"CERTIFIED SMOOTH! Check out these buttery smooth tunes from the 70s, 80s, and today! Loggins, McDonald, Cross, Hall &amp; Oats, Seals &amp; Croft, Pablo Cruise, Ambrosia, YRR, Parcels, and many more will make any night on the sea a Yacht Rock kind of night. Stay classy, stay sassy, and always MAKE IT SMOOTH",0.669,0.707,0,-13.66,0,0.0478,0.347,0.000716,0.0997,0.806,124.335,4
275506,False,62leJoS03BiNzdoQmb9ByN,Ride Like the Wind,49,True,695W5F2Ih8dYahLdjVOIoH,Christopher Cross,1zCZlZkquBeSNOeThSrKpE,Rhino Hi-Five: Christopher Cross,2005-04-19,day,69gxiSRPkZ9gLjtiAO57SS,,0.669,0.707,0,-13.66,0,0.0478,0.347,0.000716,0.0997,0.806,124.335,4
275506,False,62leJoS03BiNzdoQmb9ByN,Ride Like the Wind,49,True,695W5F2Ih8dYahLdjVOIoH,Christopher Cross,1zCZlZkquBeSNOeThSrKpE,Rhino Hi-Five: Christopher Cross,2005-04-19,day,4qvKGk78aw7DdqZzLiSIzJ,"&quot;Goddamn it, Loggins, the smooth grooves of this song will make it to at least #2!&quot; — Michael McDonald",0.669,0.707,0,-13.66,0,0.0478,0.347,0.000716,0.0997,0.806,124.335,4
275506,False,62leJoS03BiNzdoQmb9ByN,Ride Like the Wind,49,True,695W5F2Ih8dYahLdjVOIoH,Christopher Cross,1zCZlZkquBeSNOeThSrKpE,Rhino Hi-Five: Christopher Cross,2005-04-19,day,1KmN3hSatc6rOw6edRlYZE,,0.669,0.707,0,-13.66,0,0.0478,0.347,0.000716,0.0997,0.806,124.335,4
275506,False,62leJoS03BiNzdoQmb9ByN,Ride Like the Wind,49,True,695W5F2Ih8dYahLdjVOIoH,Christopher Cross,1zCZlZkquBeSNOeThSrKpE,Rhino Hi-Five: Christopher Cross,2005-04-19,day,0wLrJzrZFV9YoixA5BhBNu,,0.669,0.707,0,-13.66,0,0.0478,0.347,0.000716,0.0997,0.806,124.335,4
275506,False,62leJoS03BiNzdoQmb9ByN,Ride Like the Wind,49,True,695W5F2Ih8dYahLdjVOIoH,Christopher Cross,1zCZlZkquBeSNOeThSrKpE,Rhino Hi-Five: Christopher Cross,2005-04-19,day,4rsG53dvnacvx2hZcIE6WB,Smooth tunes from the 70s and 80s. Best played on shuffle. Music that sounds like what you would hear on your yacht in those decades and mainly sung by white men with beards.,0.669,0.707,0,-13.66,0,0.0478,0.347,0.000716,0.0997,0.806,124.335,4
